chi_over_kappa	current	noise	qfi_rate	noise_over_current_squared	inverse_qfi_rate
0.1524304556111222	0.05123155752756111	0.1308612968740141	0.04647008759562861	49.85814326821241	21.51921917388572
0.152530475595119	0.05130571373983168	0.1310950031016063	0.04653109197054641	49.80290442021938	21.49100650019104
0.1526304955791158	0.05137993856960964	0.131329062838372	0.04659213636145298	49.7477775617003	21.46284927229327
0.1527305155631126	0.05145423206426869	0.1315634766539857	0.04665322076834837	49.69276240302597	21.43474734499884
0.1528305355471094	0.05152859427124432	0.1317982451192386	0.04671434519123256	49.63785865551822	21.40670057358916
0.1529305555311062	0.051603025238034	0.1320333688060414	0.04677550963010552	49.58306603144601	21.37870881381873
0.153030575515103	0.05167752501219736	0.1322688482874272	0.04683671408496729	49.52838424402172	21.35077192191328
0.1531305954990998	0.05175209364135611	0.1325046841375529	0.04689795855581786	49.47381300739755	21.32288975456793
0.1532306154830966	0.0518267311731942	0.1327408769317023	0.04695924304265723	49.41935203666181	21.29506216894535
0.1533306354670934	0.05190143765545788	0.1329774272462882	0.04702056754548537	49.36500104783521	21.26728902267395
0.1534306554510902	0.05197621313595586	0.1332143356588555	0.04708193206430232	49.31075975786733	21.23957017384602
0.153530675435087	0.0520510576625593	0.1334516027480826	0.04714333659910807	49.25662788463283	21.21190548101594
0.1536306954190838	0.05212597128320191	0.1336892290937846	0.0472047811499026	49.20260514692806	21.18429480319841
0.1537307154030806	0.05220095404588009	0.1339272152769157	0.04726626571668593	49.14869126446723	21.15673799986657
0.1538307353870774	0.05227600599865299	0.1341655618795713	0.04732779029945807	49.09488595787902	21.1292349309503
0.1539307553710742	0.05235112718964252	0.1344042694849907	0.04738935489821898	49.04118894870302	21.10178545683437
0.154030775355071	0.0524263176670336	0.1346433386775597	0.0474509595129687	48.98759995938598	21.07438943835672
0.1541307953390678	0.05250157747907406	0.1348827700428127	0.04751260414370722	48.93411871327853	21.04704673680667
0.1542308153230646	0.05257690667407485	0.1351225641674356	0.04757428879043453	48.88074493463152	21.01975721392316
0.1543308353070614	0.05265230530041008	0.1353627216392679	0.04763601345315062	48.82747834859263	20.99252073189304
0.1544308552910582	0.05272777340651713	0.1356032430473057	0.04769777813185552	48.77431868120278	20.96533715334925
0.154530875275055	0.05280331104089672	0.1358441289817036	0.04775958282654922	48.72126565939273	20.93820634136919
0.1546308952590518	0.05287891825211292	0.1360853800337776	0.0478214275372317	48.66831901097967	20.91112815947293
0.1547309152430486	0.05295459508879346	0.1363269967960077	0.04788331226390298	48.61547846466369	20.88410247162149
